n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,4.73,-0.023,-1,-1,24.491,1001.583,0,0,0,
1,5.391,0.239,-1,-1,24.496,1001.623,0,0,0,
2,6.052,-0.221,-1,-1,24.504,1001.615,0,0,0,
3,6.713,-0.24,-1,-1,24.504,1001.617,0,0,0,
4,7.374,-0.198,36.814338166666666,-119.749964,24.501,1001.625,0,0,0,
5,8.035,-0.021,36.814338,-119.749962,24.504,1001.622,0,0,0,
6,8.696,-0.226,-1,-1,24.494,1001.635,0,0,0,
7,9.357,-0.259,36.814338,-119.749962,24.489,1001.593,0,0,0,
8,10.018,0.111,-1,-1,24.489,1001.608,0,0,0,
9,10.679,-0.203,-1,-1,24.489,1001.593,0,0,0,
10,11.341,0.061,-1,-1,24.486,1001.575,0,0,0,
11,12.002,0.023,-1,-1,24.474,1001.605,0,0,0,
12,12.662,0.049,36.814338,-119.749962,24.454,1001.592,0,0,0,
13,13.324,-0.208,36.81433766666667,-119.7499605,24.449,1001.614,0,0,0,
14,13.984,-0.148,-1,-1,24.446,1001.607,0,0,0,
15,14.645,0.145,36.81433766666667,-119.7499605,24.436,1001.582,0,0,0,
16,15.306,0.005,-1,-1,24.446,1001.576,0,0,0,
17,15.967,-0.116,-1,-1,24.436,1001.615,0,0,0,
18,16.628,-0.126,-1,-1,24.434,1001.598,0,0,0,
19,17.289,-0.145,-1,-1,24.431,1001.605,0,0,0,
20,17.95,-0.086,36.81433766666667,-119.7499605,24.421,1001.626,0,0,0,
21,18.611,-0.178,36.81433833333333,-119.74995866666667,24.421,1001.615,0,0,0,
22,19.272,-0.206,-1,-1,24.414,1001.556,0,0,0,
23,19.933,-0.155,36.81433833333333,-119.74995866666667,24.421,1001.648,0,0,0,
24,20.594,-0.255,-1,-1,24.411,1001.66,0,0,0,
25,21.255,-0.227,-1,-1,24.414,1001.623,0,0,0,
26,21.916,-0.078,-1,-1,24.406,1001.603,0,0,0,
27,22.577,-0.073,-1,-1,24.401,1001.612,0,0,0,
28,23.238,0.163,36.81433833333333,-119.74995866666667,24.394,1001.629,0,0,0,
29,23.899,0.032,36.81433966666667,-119.74995816666667,24.394,1001.618,0,0,0,
30,24.56,-0.257,-1,-1,24.387,1001.616,0,0,0,
31,25.222,-0.108,36.81433966666667,-119.74995816666667,24.384,1001.589,0,0,0,
32,25.883,-0.262,-1,-1,24.377,1001.6,0,0,0,
33,26.544,-0.267,-1,-1,24.384,1001.568,0,0,0,
34,27.205,-0.286,-1,-1,24.379,1001.627,0,0,0,
35,27.866,0.016,-1,-1,24.371,1001.595,0,0,0,
36,28.528,-0.068,36.81433966666667,-119.74995816666667,24.371,1001.598,0,0,0,
37,29.189,0.109,36.81434083333333,-119.74995633333333,24.367,1001.596,0,0,0,
38,29.85,0.174,-1,-1,24.364,1001.579,0,0,0,
39,30.512,-0.073,36.81434083333333,-119.74995633333333,24.371,1001.602,0,0,0,
40,31.173,0.074,-1,-1,24.356,1001.619,0,0,0,
41,31.834,-0.069,-1,-1,24.359,1001.599,0,0,0,
42,32.496,0.013,-1,-1,24.352,1001.601,0,0,0,
43,33.157,0.027,-1,-1,24.349,1001.581,0,0,0,
44,33.82,0.036,36.81434083333333,-119.74995633333333,24.349,1001.595,0,0,0,
